"goal_x","goal_y","goal_angle","base_speed","base_ang_v","pos_tolerance","angle_tolerance","drive_forwards","goal_z","z_speed","z_accel","grip_dist","grip_threshold","comment"
"nan","nan","nan","nan","nan","nan","nan","1","0.01","0.0442.4","0.0017696","0.08","nan","Set Z"
"0.14","0","0","0.15","0.7","0.01","0.01","1","nan","nan","nan","nan","nan","Starting position"
"0.31","0","0","0.1","0.6","nan","nan","1","nan","nan","nan","nan","nan","Position around BP"
"nan","nan","nan","nan","nan","nan","nan","1","nan","nan","nan","0","nan","Grab BP for alignment"
"nan","nan","nan","nan","nan","nan","nan","1","nan","nan","nan","0.08","nan","Release BP"
"0.14","0","0","0.1","0.6","0.01","0.01","0","nan","nan","nan","nan","nan","Back out"
"0.215","0","0","nan","0.3","0.008","0.005","1","0.005","nan","nan","0","nan","Position below lever"
"nan","nan","nan","nan","nan","nan","nan","1","0.01","0.0350","nan","nan","nan","Push lever up a little"
"0.24","0","0","0.07","nan","0.005","0.01","1","0.05","nan","nan","nan","nan","Push lever up"
"0.325","0","0","0.15","0.7","0.05","0.02","1","nan","nan","nan","nan","nan","Push lever all the way up"
"0.23","0","0","0.1","0.6","0.02","0.02","0","nan","nan","nan","0.08","nan","Back off lever"
"nan","nan","nan","nan","nan","nan","nan","1","0.01","0.04424","nan","nan","nan","Lower Z to BP grabbing height"
"0.31","0","0","nan","nan","0.01","0.01","1","nan","nan","nan","nan","nan","Position around BP"
"nan","nan","nan","nan","nan","nan","nan","1","nan","nan","nan","0","nan","Grab BP"
"0","0","0","nan","nan","0.05","0.05","0","nan","nan","nan","nan","nan","Pull back"
"nan","nan","nan","nan","nan","nan","nan","0","nan","0.04424","nan","nan","nan","Reset speed"
