"goal_x","goal_y","goal_angle","base_speed","base_ang_v","pos_tolerance","angle_tolerance","drive_forwards","goal_z","z_speed","z_accel","grip_dist","grip_threshold","comment"
"nan","nan","nan","nan","nan","nan","nan","1","-0.007","442.4","17.696","0","nan","Set Z"
"0.14","0","0","0.15","0.7","0.025","0.025","1","nan","nan","nan","nan","nan","Starting position"
"0.223","0","0","0.1","0.6","0.005","nan","1","nan","nan","nan","nan","nan","Drive into lever"
"nan","nan","nan","nan","nan","nan","nan","1","0.008","nan","nan","nan","nan","Push lever up a little"
"0.325","0","0","nan","nan","0.01","0.01","1","0.0172","400","nan","nan","nan","Push lever up"
"0.25","0","0","nan","nan","0.025","0.025","0","nan","nan","nan","0.08","nan","Back off the lever a little and open gripper"
"nan","nan","nan","nan","nan","nan","nan","1","0","nan","nan","nan","nan","Lower Z to BP grabbing height"
"nan","nan","nan","nan","nan","nan","nan","1","nan","nan","nan","0.055","nan","Grab BP"
"0","0","0","nan","nan","nan","nan","0","nan","nan","nan","nan","nan","Pull back"
"nan","nan","nan","nan","nan","nan","nan","0","nan","442.4","nan","nan","nan","Reset speed"
