"goal_x","goal_y","goal_angle","base_speed","base_ang_v","pos_tolerance","angle_tolerance","drive_forwards","goal_z","z_speed","z_accel","grip_dist","grip_threshold","comment"
"nan","nan","nan","nan","nan","nan","nan","1","0.027","200","10","0.04","nan","Set Z and gripper"
"0.28","0","0","0.15","0.7","0.07","0.125","1","nan","nan","nan","0","nan","Drive into carriage"
"0.3","0","0.2","nan","nan","nan","nan","1","nan","nan","nan","nan","nan","Finagle BP onto carriage #1"
"0.32","0","-0.2","nan","nan","nan","nan","1","nan","nan","nan","nan","nan","Finagle BP onto carriage #2"
"0.34","0","0","nan","nan","nan","nan","1","nan","nan","nan","nan","nan","Finagle BP onto carriage #3"
"nan","nan","nan","nan","nan","nan","nan","1","0.013","nan","nan","nan","nan","Aim BP into carriage"
"0.385","0","0","0.15","0.7","0.08","nan","1","nan","nan","nan","nan","nan","Insert BP onto carriage"
"nan","nan","nan","nan","nan","nan","nan","1","nan","nan","nan","0.08","nan","Release BP"
"0.41","0","0","nan","nan","nan","nan","1","0.05","442.4","17.696","nan","nan","Drive behind lever"
"nan","nan","nan","nan","nan","nan","nan","1","nan","nan","nan","0","nan","Grab lever"
"0.25","0","0","nan","nan","nan","nan","0","0.025","200","10","nan","nan","Pull lever down"
"0","0","0","nan","nan","0.05","0.05","0","0","nan","nan","nan","nan","Back away"
"nan","nan","nan","nan","nan","nan","nan","1","0.015","442.4","17.696","0.04","nan","Reset speed"
